,c11,c12,c13,c14,c15,c16,c21,c22,c23,c24,c25,c26,c31,c32,c33,c34,c35,c36,c41,c42,c43,c44,c45,c46,c51,c52,c53,c54,c55,c56,c61,c62,c63,c64,c65,c66,element,potential,crystalstructure
33,243.418,145.06,145.06,-0.0,-0.0,0.0,145.06,243.418,145.06,-0.0,-0.0,-0.0,145.06,145.06,243.418,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,116.029,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,116.029,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,116.029,Fe,1997--Ackland-G-J-Bacon-D-J-Calder-A-F-Harry-T--Fe,bcc
34,13.669,6.835,6.835,-0.0,0.0,0.0,6.835,13.669,6.835,0.0,0.0,-0.0,6.835,6.835,13.669,-0.0,0.0,0.0,0.0,-0.0,-0.0,6.835,0.0,0.0,-0.0,0.0,-0.0,-0.0,6.835,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,6.835,Al,1997--Liu-X-Y-Ohotnicky-P-P-Adams-J-B-et-al--Al-Mg,fcc
35,62.392,25.788,21.536,0.0,0.0,-0.0,24.778,63.402,21.536,-0.0,0.0,-0.0,21.536,21.536,67.241,0.0,0.0,-0.0,-0.0,0.0,-0.0,16.846,0.0,-0.0,0.0,0.0,-0.0,0.0,16.846,-0.0,0.0,-0.0,0.0,0.0,0.0,18.302,Mg,1997--Liu-X-Y-Ohotnicky-P-P-Adams-J-B-et-al--Al-Mg,hcp
36,116.752,61.792,61.792,0.0,0.0,-0.0,61.792,116.752,61.792,0.0,0.0,-0.0,61.792,61.792,116.752,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,31.975,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,31.975,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,31.975,Al,1998--Liu-X-Y-Adams-J-B--Al-Mg,fcc
37,63.4,24.777,21.535,-0.0,0.0,0.0,25.786,62.391,21.535,0.0,0.0,0.0,21.535,21.535,67.239,-0.0,0.0,0.0,0.0,0.0,-0.0,16.846,-0.0,0.0,0.0,0.0,-0.0,-0.0,16.846,0.0,0.0,0.0,-0.0,0.0,-0.0,19.312,Mg,1998--Liu-X-Y-Adams-J-B--Al-Mg,hcp
38,118.442,62.563,62.563,0.0,0.0,0.0,62.563,118.442,62.563,0.0,0.0,0.0,62.563,62.563,118.442,0.0,-0.0,0.0,-0.0,0.0,0.0,36.613,0.0,0.0,-0.0,-0.0,0.0,0.0,36.613,0.0,-0.0,0.0,0.0,0.0,0.0,36.613,Al,1999--Liu-X-Y-Liu-C-L-Borucki-L-J--Al-Cu,fcc
39,167.264,124.154,124.154,-0.0,-0.0,-0.0,124.154,167.264,124.154,-0.0,-0.0,-0.0,124.154,124.154,167.264,-0.0,-0.0,0.0,0.0,0.0,-0.0,76.445,0.0,-0.0,0.0,0.0,-0.0,0.0,76.445,-0.0,0.0,-0.0,0.0,0.0,0.0,76.445,Cu,1999--Liu-X-Y-Liu-C-L-Borucki-L-J--Al-Cu,fcc
40,113.796,61.555,61.555,-0.0,0.0,-0.0,61.555,113.796,61.555,-0.0,0.0,-0.0,61.555,61.555,113.796,-0.0,0.0,-0.0,0.0,-0.0,-0.0,31.595,0.0,-0.0,0.0,-0.0,-0.0,-0.0,31.595,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,31.595,Al,1999--Mishin-Y-Farkas-D-Mehl-M-J-Papaconstantopoulos-D-A--Al,fcc
41,247.862,147.828,147.828,0.0,-0.0,-0.0,147.828,247.862,147.828,-0.0,0.0,0.0,147.828,147.828,247.862,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,124.838,0.0,0.0,-0.0,0.0,-0.0,-0.0,124.838,-0.0,-0.0,-0.0,-0.0,0.0,0.0,124.838,Ni,1999--Mishin-Y-Farkas-D-Mehl-M-J-Papaconstantopoulos-D-A--Ni,fcc
42,107.907,56.907,56.907,0.0,0.0,0.0,56.907,107.907,56.907,0.0,0.0,0.0,56.907,56.907,107.907,0.0,0.0,0.0,-0.0,0.0,0.0,32.86,-0.0,0.0,0.0,0.0,0.0,0.0,32.86,0.0,-0.0,0.0,0.0,0.0,0.0,32.86,Al,2000--Landa-A-Wynblatt-P-Siegel-D-J-et-al--Al-Pb,fcc
43,43.988,36.745,36.745,-0.0,-0.0,-0.0,36.745,43.988,36.745,-0.0,-0.0,-0.0,36.745,36.745,43.988,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,7.239,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,7.239,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,7.239,Pb,2000--Landa-A-Wynblatt-P-Siegel-D-J-et-al--Al-Pb,fcc
44,12.612,6.303,6.303,-0.0,-0.0,-0.0,6.303,12.612,6.303,-0.0,-0.0,0.0,6.303,6.303,12.612,0.0,0.0,0.0,-0.0,0.0,0.0,6.309,-0.0,0.0,0.0,-0.0,0.0,0.0,6.309,0.0,0.0,0.0,-0.0,0.0,0.0,6.309,Al,2000--Sturgeon-J-B-Laird-B-B--Al,fcc
45,169.881,122.604,122.604,0.0,-0.0,-0.0,122.604,169.881,122.604,-0.0,-0.0,-0.0,122.604,122.604,169.881,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,76.19,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,76.19,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,76.19,Cu,2001--Mishin-Y-Mehl-M-J-Papaconstantopoulos-D-A-et-al--Cu-1,fcc
46,635.052,315.743,315.743,-0.0,-0.0,-0.0,315.743,635.052,315.743,-0.0,0.0,-0.0,315.743,315.743,635.052,0.0,-0.0,-0.0,0.0,-0.0,-0.0,136.097,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,136.097,-0.0,-0.0,0.0,0.0,0.0,-0.0,136.097,Ni,2002--Mishin-Y-Mehl-M-J-Papaconstantopoulos-D-A--Ni-Al,fcc
47,145.065,78.122,78.122,0.0,-0.0,0.0,78.122,145.065,78.122,-0.0,0.0,-0.0,78.122,78.122,145.065,0.0,0.0,0.0,0.0,0.0,-0.0,84.369,0.0,0.0,-0.0,0.0,-0.0,0.0,84.369,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,84.369,Al,2002--Mishin-Y-Mehl-M-J-Papaconstantopoulos-D-A--Ni-Al,fcc
48,227.566,119.098,119.098,-0.0,-0.0,0.0,119.098,227.566,119.098,-0.0,0.0,0.0,119.098,119.098,227.566,-0.0,-0.0,0.0,0.0,0.0,-0.0,43.155,-0.0,0.0,0.0,0.0,-0.0,-0.0,43.155,0.0,0.0,0.0,-0.0,-0.0,-0.0,43.155,V,2003--Han-S-Zepeda-Ruiz-L-A-Ackland-G-J-et-al--V,bcc
49,532.613,205.016,205.016,-0.0,0.0,0.0,205.016,532.613,205.016,-0.0,0.0,0.0,205.016,205.016,532.613,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,163.199,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,163.199,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,163.199,W,2003--Han-S-Zepeda-Ruiz-L-A-Ackland-G-J-et-al--W,bcc
